"LastName","FirstName","Gender","Country","Date","Competition","Round","Location","Apparatus","Rank","D_Score","E_Score","Penalty","Score","ID","FullName","AthleteID"
"abad","nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","HB",10,5.3,8.133,NA,13.433,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",48,5,8.166,NA,13.166,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PB",12,5.8,8.4,NA,14.2,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",26,5.8,8.5,NA,14.3,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PH",21,5.1,6.166,NA,11.266,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",55,5.2,7.566,NA,12.766,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","SR",12,5.3,7.933,NA,13.233,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","SR",90,4.9,7.666,NA,12.566,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","VT",20,4.8,9.033,0.1,13.733,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",97,4.8,9,0.3,13.5,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","FX",86,5.4,7.133,0.1,12.433,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","HB",10,5.3,8.5,NA,13.8,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","TeamFinal","Munich, Germany","HB",10,5.3,8.1,NA,13.4,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","PB",9,5.8,8.6,NA,14.4,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","TeamFinal","Munich, Germany","PB",10,5.8,8.266,NA,14.066,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","PH",105,5,5.5,NA,10.5,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","SR",23,5.3,8.366,NA,13.666,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","TeamFinal","Munich, Germany","SR",6,5.3,8.333,NA,13.633,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","VT",36,5.2,9.2,0.3,14.1,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","FX",24,5.4,7.233,NA,12.633,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","FX",94,4.6,8,0.1,12.5,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","HB",9,5.3,8.1,NA,13.4,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","final","Antalya, Turkey","HB",4,5.3,8.366,NA,13.666,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","HB",5,5.3,8.433,NA,13.733,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","PB",10,5.8,8.033,NA,13.833,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","PB",23,5.8,8.1,NA,13.9,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","PH",12,4.7,8.3,NA,13,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","PH",28,5,8.233,NA,13.233,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","SR",17,5.3,8.466,NA,13.766,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","SR",4,5.3,8.366,NA,13.666,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","VT",22,5.2,7.9,0.1,13,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","VT",69,4.8,9,0.1,13.7,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abbadini","yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","FX",17,5.1,8.466,NA,13.566,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",34,5.1,8.566,NA,13.666,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","HB",24,5.1,5.1,0.3,9.9,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",27,5.6,8,NA,13.6,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PB",20,5.3,7.766,NA,13.066,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",52,5.3,8.4,NA,13.7,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PH",7,5.5,8.166,NA,13.666,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",15,5.5,8.466,NA,13.966,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","SR",13,4.7,8.466,NA,13.166,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","SR",60,4.7,8.3,NA,13,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","VT",18,4.8,9.066,NA,13.866,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",84,4.8,8.9,0.1,13.6,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","FX",19,5.4,8.433,NA,13.833,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","HB",11,5.6,8.2,NA,13.8,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","18-21 Aug 2022","2022 Senior European Championships","TeamFinal","Munich, Germany","HB",6,5.6,8.166,NA,13.766,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","PB",91,4.7,7.333,NA,12.033,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","PH",61,5,7.533,NA,12.533,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","18-21 Aug 2022","2022 Senior European Championships","TeamFinal","Munich, Germany","PH",5,5.5,8.333,NA,13.833,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","18-21 Aug 2022","2022 Senior European Championships","TeamFinal","Munich, Germany","SR",13,5,8.366,NA,13.366,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","9-12 Mar 2023","2023 Baku World Cup","qual","Baku, Azerbaijan","FX",11,5.5,8.033,NA,13.533,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","9-12 Mar 2023","2023 Baku World Cup","qual","Baku, Azerbaijan","HB",10,5.3,8.233,NA,13.533,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","9-12 Mar 2023","2023 Baku World Cup","qual","Baku, Azerbaijan","PH",15,6.4,7.033,NA,13.433,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","FX",11,5.5,8.266,NA,13.766,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","FX",11,5.5,8.466,NA,13.966,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","HB",4,5.3,8.166,NA,13.466,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","HB",90,5.3,6.833,NA,12.133,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","PB",8,5.3,8.7,NA,14,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","PB",40,5.3,8.2,NA,13.5,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","PH",1,5.7,8.4,NA,14.1,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","final","Antalya, Turkey","PH",6,5.7,8.466,NA,14.166,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","PH",6,5.7,8.566,NA,14.266,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","SR",26,4.7,8.8,NA,13.5,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","SR",10,4.7,8.566,NA,13.266,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","VT",18,4.8,8.866,0.1,13.566,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abbadini","yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","VT",64,4.8,8.933,NA,13.733,"yumin_abbadini_ITA","yumin abbadini","yumin abbadini_ITA"
"abdelhaleem","abdelrahman","m","EGY","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",113,5.2,7.2,0.4,12,"abdelrahman_abdelhaleem_EGY","abdelrahman abdelhaleem","abdelrahman abdelhaleem_EGY"
"abdelhaleem","abdelrahman","m","EGY","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",68,4.6,8.166,NA,12.766,"abdelrahman_abdelhaleem_EGY","abdelrahman abdelhaleem","abdelrahman abdelhaleem_EGY"
"abdelhaleem","abdelrahman","m","EGY","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",122,4.3,8.1,NA,12.4,"abdelrahman_abdelhaleem_EGY","abdelrahman abdelhaleem","abdelrahman abdelhaleem_EGY"
"abdelhaleem","abdelrahman","m","EGY","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",55,5.2,7.566,NA,12.766,"abdelrahman_abdelhaleem_EGY","abdelrahman abdelhaleem","abdelrahman abdelhaleem_EGY"
"abdelhaleem","abdelrahman","m","EGY","27-30 Apr 2023","2023 Cairo World Cup","qual","Cairo, Egypt","PH",9,5.6,8.5,NA,14.1,"abdelrahman_abdelhaleem_EGY","abdelrahman abdelhaleem","abdelrahman abdelhaleem_EGY"
"abdelhaleem","abdelrahman","m","EGY","9-12 Mar 2023","2023 Baku World Cup","qual","Baku, Azerbaijan","PH",21,5.8,7.266,NA,13.066,"abdelrahman_abdelhaleem_EGY","abdelrahman abdelhaleem","abdelrahman abdelhaleem_EGY"
"abdelrahman","ahmed","m","EGY","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",116,5.4,7.433,0.9,11.933,"ahmed_abdelrahman_EGY","ahmed abdelrahman","ahmed abdelrahman_EGY"
"abdelrahman","ahmed","m","EGY","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",61,4.4,8.566,NA,12.966,"ahmed_abdelrahman_EGY","ahmed abdelrahman","ahmed abdelrahman_EGY"
"abdelrahman","ahmed","m","EGY","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",92,5.2,7.8,NA,13,"ahmed_abdelrahman_EGY","ahmed abdelrahman","ahmed abdelrahman_EGY"
"abdelrahman","ahmed","m","EGY","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",37,4.9,8.266,NA,13.166,"ahmed_abdelrahman_EGY","ahmed abdelrahman","ahmed abdelrahman_EGY"
"abdelrahman","ahmed","m","EGY","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",50,5.2,8.766,NA,13.966,"ahmed_abdelrahman_EGY","ahmed abdelrahman","ahmed abdelrahman_EGY"
"abdelrahman","ahmed","m","EGY","9-12 Mar 2023","2023 Baku World Cup","qual","Baku, Azerbaijan","FX",33,5.1,7.266,0.3,12.066,"ahmed_abdelrahman_EGY","ahmed abdelrahman","ahmed abdelrahman_EGY"
"abdelrahman","ahmed","m","EGY","9-12 Mar 2023","2023 Baku World Cup","qual","Baku, Azerbaijan","PB",12,5.2,8.266,NA,13.466,"ahmed_abdelrahman_EGY","ahmed abdelrahman","ahmed abdelrahman_EGY"
"abdelrahman","ahmed","m","EGY","9-12 Mar 2023","2023 Baku World Cup","qual","Baku, Azerbaijan","PH",36,4.7,7.366,NA,12.066,"ahmed_abdelrahman_EGY","ahmed abdelrahman","ahmed abdelrahman_EGY"
"abdelrahman","ahmed","m","EGY","27-30 Apr 2023","2023 Cairo World Cup","qual","Cairo, Egypt","FX",38,5.2,6.333,NA,0.4,"ahmed_abdelrahman_EGY","ahmed abdelrahman","ahmed abdelrahman_EGY"
"abdelrahman","ahmed","m","EGY","27-30 Apr 2023","2023 Cairo World Cup","qual","Cairo, Egypt","VT",17,5.6,7.833,NA,13.433,"ahmed_abdelrahman_EGY","ahmed abdelrahman","ahmed abdelrahman_EGY"
"abdelrahman","ahmed","m","EGY","27-30 Apr 2023","2023 Cairo World Cup","qual","Cairo, Egypt","VT",17,5.2,7.9,NA,13.1,"ahmed_abdelrahman_EGY","ahmed abdelrahman","ahmed abdelrahman_EGY"
"abdelrahman","ahmed","m","EGY","9-12 Mar 2023","2023 Baku World Cup","qual","Baku, Azerbaijan","VT",NA,5.2,8.166,NA,13.366,"ahmed_abdelrahman_EGY","ahmed abdelrahman","ahmed abdelrahman_EGY"
"abdelsalam","jana","w","EGY","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","BB",100,4.8,6.2,NA,11,"jana_abdelsalam_EGY","jana abdelsalam","jana abdelsalam_EGY"
"abdelsalam","jana","w","EGY","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",109,4.4,7.466,0.1,11.766,"jana_abdelsalam_EGY","jana abdelsalam","jana abdelsalam_EGY"
"abdelsalam","jana","w","EGY","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","UB",52,4.8,8,NA,12.8,"jana_abdelsalam_EGY","jana abdelsalam","jana abdelsalam_EGY"
"abdelsalam","jana","w","EGY","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",110,4.2,8.433,0.3,12.333,"jana_abdelsalam_EGY","jana abdelsalam","jana abdelsalam_EGY"
"abdelsalam","jana","w","EGY","9-12 Mar 2023","2023 Baku World Cup","qual","Baku, Azerbaijan","BB",22,4.8,6.733,NA,11.533,"jana_abdelsalam_EGY","jana abdelsalam","jana abdelsalam_EGY"
"abdelsalam","jana","w","EGY","9-12 Mar 2023","2023 Baku World Cup","qual","Baku, Azerbaijan","FX",22,4.5,7.366,NA,11.866,"jana_abdelsalam_EGY","jana abdelsalam","jana abdelsalam_EGY"
"abdelsalam","jana","w","EGY","27-30 Apr 2023","2023 Cairo World Cup","final","Cairo, Egypt","BB",8,4.8,6.566,NA,11.366,"jana_abdelsalam_EGY","jana abdelsalam","jana abdelsalam_EGY"
"abdelsalam","jana","w","EGY","27-30 Apr 2023","2023 Cairo World Cup","qual","Cairo, Egypt","BB",9,4.7,7.466,NA,12.166,"jana_abdelsalam_EGY","jana abdelsalam","jana abdelsalam_EGY"
"abdelsalam","jana","w","EGY","27-30 Apr 2023","2023 Cairo World Cup","qual","Cairo, Egypt","UB",29,4.5,6.266,NA,10.766,"jana_abdelsalam_EGY","jana abdelsalam","jana abdelsalam_EGY"
"abdelsalam","jana","w","EGY","1-4 Mar 2023","2023 Doha World Cup","final","Doha, Qatar","BB",4,5,8,NA,13,"jana_abdelsalam_EGY","jana abdelsalam","jana abdelsalam_EGY"
"abdelsalam","jana","w","EGY","1-4 Mar 2023","2023 Doha World Cup","qual","Doha, Qatar","BB",6,5,7.933,NA,12.933,"jana_abdelsalam_EGY","jana abdelsalam","jana abdelsalam_EGY"
"abdelsalam","jana","w","EGY","1-4 Mar 2023","2023 Doha World Cup","qual","Doha, Qatar","UB",21,3.8,5.533,NA,9.333,"jana_abdelsalam_EGY","jana abdelsalam","jana abdelsalam_EGY"
"abdullah","ally","m","MAS","23-26 Feb 2023","2023 Cottbus World Cup","qual","Cottbus, Germany","SR",46,4.8,5.133,NA,9.933,"ally_abdullah_MAS","ally abdullah","ally abdullah_MAS"
"abdullahi","ayesha","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England","BB",41,3.7,6.5,0,10.2,"ayesha_abdullahi_GBR","ayesha abdullahi","ayesha abdullahi_GBR"
"abdullahi","ayesha","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England","UB",45,3.5,6.7,0,10.2,"ayesha_abdullahi_GBR","ayesha abdullahi","ayesha abdullahi_GBR"
"abdurakhimov","rasuljon","m","UZB","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",39,4.6,8.666,NA,13.266,"rasuljon_abdurakhimov_UZB","rasuljon abdurakhimov","rasuljon abdurakhimov_UZB"
"abdurakhimov","rasuljon","m","UZB","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",28,6,8.233,NA,14.233,"rasuljon_abdurakhimov_UZB","rasuljon abdurakhimov","rasuljon abdurakhimov_UZB"
"abdurakhimov","rasuljon","m","UZB","9-12 Mar 2023","2023 Baku World Cup","qual","Baku, Azerbaijan","HB",27,4.5,8.033,NA,12.533,"rasuljon_abdurakhimov_UZB","rasuljon abdurakhimov","rasuljon abdurakhimov_UZB"
"abdurakhimov","rasuljon","m","UZB","9-12 Mar 2023","2023 Baku World Cup","final","Baku, Azerbaijan","PB",7,5.9,8.366,NA,14.266,"rasuljon_abdurakhimov_UZB","rasuljon abdurakhimov","rasuljon abdurakhimov_UZB"
"abdurakhimov","rasuljon","m","UZB","9-12 Mar 2023","2023 Baku World Cup","qual","Baku, Azerbaijan","PB",8,5.9,8.366,NA,14.266,"rasuljon_abdurakhimov_UZB","rasuljon abdurakhimov","rasuljon abdurakhimov_UZB"
"abdurakhimov","rasuljon","m","UZB","25-28 May 2023","2023 Varna World Challenge Cup","final","Varna, Bulgaria","HB",8,4.3,8,0,12.3,"rasuljon_abdurakhimov_UZB","rasuljon abdurakhimov","rasuljon abdurakhimov_UZB"
"abdurakhimov","rasuljon","m","UZB","25-28 May 2023","2023 Varna World Challenge Cup","qual","Varna, Bulgaria","HB",5,4.6,8.75,0,13.35,"rasuljon_abdurakhimov_UZB","rasuljon abdurakhimov","rasuljon abdurakhimov_UZB"
"abdurakhimov","rasuljon","m","UZB","25-28 May 2023","2023 Varna World Challenge Cup","final","Varna, Bulgaria","PB",1,5.5,8.733,0,14.23,"rasuljon_abdurakhimov_UZB","rasuljon abdurakhimov","rasuljon abdurakhimov_UZB"
"abdurakhimov","rasuljon","m","UZB","25-28 May 2023","2023 Varna World Challenge Cup","qual","Varna, Bulgaria","PB",1,5.5,9,0,14.5,"rasuljon_abdurakhimov_UZB","rasuljon abdurakhimov","rasuljon abdurakhimov_UZB"
"abdurakhimov","rasuljon","m","UZB","25-28 May 2023","2023 Varna World Challenge Cup","qual","Varna, Bulgaria","SR",16,4.1,8.4,0,12.5,"rasuljon_abdurakhimov_UZB","rasuljon abdurakhimov","rasuljon abdurakhimov_UZB"
